neighbourhood,area,rooms,parking,bathrooms,price,lat_value,lon_value,has_multiple_parking_spaces
Bosque dos Eucaliptos,124.75,4,2,3,615000.0,-23.2629313,-45.8910605,1
Jardim das Indústrias,124.3,3,2,4,1600000.0,-23.2327074,-45.9275569,1
Jardim das Colinas,124.28,4,3,5,2700000.0,-23.2034236,-45.9105214,1
Jardim América,124.77,3,1,2,650000.0,-23.2308616,-45.8942314,0
Jardim San Marino,124.03,2,1,2,450000.0,-23.2285629,-45.8969811,0
Vila Iracema,124.46,2,1,1,255000.0,-23.2505934,-45.8275902,0
Jardim Satélite,124.54,2,2,1,487000.0,-23.2202195,-45.8937188,1
Conjunto Residencial Trinta e Um de Março,124.54,3,2,2,795000.0,-23.2534054,-45.9166353,1
Jardim Uirá,124.17,3,2,2,430000.0,-23.2105138,-45.8514249,1
Palmeiras de São José,124.58,2,1,2,553000.0,-23.2400181,-45.9134951,0
Parque Residencial Flamboyant,124.9,2,1,1,235000.0,-23.2165405,-45.8512413,0
Vila Industrial,124.94,2,1,2,405000.0,-23.177608,-45.859793,0
Floradas de São José,124.48,4,2,3,692000.0,-23.2210113,-45.8861064,1
Vila Sanches,124.91,2,1,2,440000.0,-23.2041152,-45.8853984,0
Floradas de São José,124.83,3,2,3,975200.0,-23.2198567,-45.8913555,1
Parque Industrial,124.74,4,2,3,794900.0,-23.2534054,-45.9166353,1
Jardim América,124.35,2,1,2,450000.0,-23.2307302,-45.8975618,0
Floradas de São José,124.21,3,1,1,410000.0,-23.2200324,-45.8872035,0
Jardim Esplanada,124.06,2,1,1,435000.0,-23.202293,-45.906894,0
Parque Residencial Aquarius,124.84,3,2,3,1170000.0,-23.2153165,-45.9095676,1
Parque Residencial Aquarius,124.55,3,2,2,796900.0,-23.2221126,-45.9095335,1
Jardim Sul,124.81,2,2,2,490000.0,-23.2487836,-45.8925307,1
Parque Residencial Aquarius,124.3,2,2,2,827000.0,-23.2190226,-45.908767,1
Jardim Alvorada,124.06,3,2,2,915000.0,-23.2153165,-45.9095676,1
Altos do Esplanada,124.89,3,3,4,2150000.0,-23.2127421,-45.9069145,1
Residencial Frei Galvão,124.53,2,1,1,190000.0,-23.1698499,-45.7893012,0
Jardim Alvorada,124.67,3,2,2,915100.0,-23.2153165,-45.9095676,1
Jardim Santa Madalena,124.86,2,2,2,798000.0,-23.2043732,-45.8959331,1
Vila Ema,124.11,2,1,1,460000.0,-23.2028182,-45.9003141,0
Parque Residencial Aquarius,124.84,3,1,2,640000.0,-23.2221126,-45.9095335,0
Jardim Oriente,124.95,2,1,2,365000.0,-23.2432353,-45.8932115,0
Vila Betânia,124.0,3,2,3,680000.0,-23.2052682,-45.8881552,1
Conjunto Residencial Trinta e Um de Março,124.97,2,1,2,475000.0,-23.2534054,-45.9166353,0
Bosque dos Eucaliptos,124.03,2,1,2,390000.0,-23.2473088,-45.8854256,0
Jardim Topázio,124.82,2,1,1,350000.0,-23.1961965,-45.8841151,0
Jardim das Indústrias,124.96,2,2,3,960000.0,-23.2341234,-45.9256624,1
Jardim Esplanada II,124.27,3,2,3,1700000.0,-23.2082214,-45.9083253,1
Bosque dos Eucaliptos,124.5,3,1,2,300000.0,-23.2514089,-45.8898838,0
Monte Castelo,124.74,3,1,2,510000.0,-23.1417569,-45.7825794,0
Jardim Esplanada II,124.65,3,2,4,2050000.0,-23.2082214,-45.9083253,1
Jardim das Indústrias,124.31,2,1,1,380000.0,-23.2341234,-45.9256624,0
Jardim Satélite,124.19,3,2,2,698000.0,-23.2281635,-45.8793978,1
Bosque dos Eucaliptos,124.46,3,2,2,795000.0,-23.2629313,-45.8910605,1
Parque Residencial Aquarius,124.52,4,2,3,765000.0,-23.2205233,-45.9051222,1
Jardim São Dimas,124.54,1,0,1,340000.0,-23.2034889,-45.8845846,0
Centro,124.7,2,1,1,420000.0,-23.1903996,-45.8891452,0
Parque Residencial Aquarius,124.1,3,2,3,1100000.0,-23.2151853,-45.9090412,1
Jardim América,124.42,2,1,1,371000.0,-23.2319718,-45.8942925,0
Jardim América,124.31,2,1,2,395000.0,-23.2499985,-45.9083387,0
Bosque dos Eucaliptos,124.82,4,2,3,615000.0,-23.2629313,-45.8910605,1
Vila Betânia,124.2,1,1,1,320000.0,-23.2052682,-45.8881552,0
Vila Tatetuba,124.7,3,1,2,470000.0,-23.1853312,-45.8543047,0
Jardim Santa Madalena,124.47,2,2,2,790000.0,-23.2043732,-45.8959331,1
Jardim Satélite,124.18,2,2,2,600000.0,-23.2629313,-45.8910605,1
Conjunto Residencial Trinta e Um de Março,124.62,3,1,2,398000.0,-23.2534054,-45.9166353,0
Jardim Satélite,124.09,2,2,2,600000.0,-23.2629313,-45.8910605,1
Altos do Esplanada,124.89,2,2,1,750000.0,-23.2127421,-45.9069145,1
Loteamento Residencial Vista Linda,124.41,3,2,2,385000.0,-23.1774234,-45.8623515,1
Condomínio Royal Park,124.05,3,2,3,1150000.0,-23.2228195,-45.9104962,1
Jardim Apolo,124.54,2,2,2,850000.0,-23.1956647,-45.8937347,1
Parque Residencial Aquarius,124.03,3,2,3,798000.0,-23.2190226,-45.908767,1
Parque Residencial Aquarius,124.13,3,2,2,750000.0,-23.2166401,-45.907289,1
Floradas de São José,124.55,3,1,2,480000.0,-23.2210113,-45.8861064,0
Parque Industrial,124.48,2,1,1,375000.0,-22.8927416,-45.3786132,0
Vila Betânia,124.48,4,2,3,640000.0,-23.2052682,-45.8881552,1
Loteamento Urbanova II,124.59,2,1,2,585999.0,-23.2013346,-45.9462429,0
Jardim das Colinas,124.65,3,4,5,3500000.0,-23.2082214,-45.9083253,1
Jardim Apolo I,124.86,2,2,2,955000.0,-23.1956647,-45.8937347,1
Parque Residencial Aquarius,124.74,3,2,3,1600000.0,-23.2221126,-45.9095335,1
Bosque dos Eucaliptos,124.38,3,2,2,780000.0,-23.2629313,-45.8910605,1
Condomínio Residencial Colinas do Paratehy,124.32,2,1,2,424000.0,-23.1827844,-45.9503959,0
Parque Industrial,124.8,2,1,2,552914.0,-23.2311239,-45.9066157,0
Jardim Esplanada,124.81,1,1,1,420300.0,-23.1979166,-45.9113619,0
Monte Castelo,124.85,3,2,2,550000.0,-23.1417569,-45.7825794,1
Vila Sanches,124.05,2,1,2,487600.0,-23.2041152,-45.8853984,0
Vila Ema,124.92,2,2,3,922000.0,-23.2049539,-45.9015195,1
Urbanova,124.53,4,4,4,1434200.0,-23.1987975,-45.9352675,1
Condomínio Royal Park,124.97,3,2,3,1390000.0,-23.2228195,-45.9104962,1
Floradas de São José,124.24,3,2,2,900000.0,-23.2198567,-45.8913555,1
Jardim Estoril,124.29,3,2,2,670000.0,-23.253497,-45.8829921,1
Conjunto Residencial Trinta e Um de Março,124.39,2,2,2,650000.0,-23.2534054,-45.9166353,1
Jardim das Colinas,124.25,1,1,1,465136.0,-23.2067366,-45.9103019,0
Vila Tatetuba,124.25,3,1,2,470000.0,-23.1853312,-45.8543047,0
Jardim das Indústrias,124.62,2,2,2,719000.0,-23.2341234,-45.9256624,1
Jardim Esplanada II,124.48,3,2,5,2360000.0,-23.2082214,-45.9083253,1
Jardim Sul,124.24,3,2,2,500000.0,-23.2505639,-45.8914715,1
Cidade Morumbi,124.11,2,1,1,275000.0,-23.2434773,-45.9058528,0
Vila Tatetuba,124.89,3,1,2,362000.0,-23.1805844,-45.8471383,0
Jardim Oriente,124.37,2,1,1,409892.0,-23.2402544,-45.8933781,0
Jardim São Dimas,124.48,3,0,2,550000.0,-23.197238,-45.8900114,0
Jardim Apolo I,124.72,2,2,2,1138836.0,-23.1956647,-45.8937347,1
